"time","GDP"
1980-01-01,89780.2917677033
1980-04-01,90041.5923452056
1980-07-01,90640.9949742035
1980-10-01,91041.3758180882
1981-01-01,91255.566984844
1981-04-01,91902.9407680637
1981-07-01,92162.7404692426
1981-10-01,91974.0481167952
1982-01-01,91693.7907573999
1982-04-01,90616.4737652409
1982-07-01,90163.2821073257
1982-10-01,90040.1925650509
1983-01-01,90197.5906290725
1983-04-01,91023.5553891353
1983-07-01,91414.7380918725
1983-10-01,92063.4231532701
1984-01-01,92604.3144758263
1984-04-01,93200.8566794611
1984-07-01,94604.5621307714
1984-10-01,95591.0012529136
1985-01-01,96306.0201584356
1985-04-01,97184.1607919312
1985-07-01,97645.9860831128
1985-10-01,98588.2982686799
1986-01-01,98605.4316813561
1986-04-01,99378.021669074
1986-07-01,99500.7254275203
1986-10-01,99479.70185834
1987-01-01,99505.477125924
1987-04-01,100304.510914629
1987-07-01,101252.86416716
1987-10-01,102182.480739658
1988-01-01,102620.338213326
1988-04-01,103405.423114052
1988-07-01,104555.198354209
1988-10-01,106016.040925035
1989-01-01,106483.810155592
1989-04-01,108220.961958732
1989-07-01,109367.072041468
1989-10-01,110823.097519528
1990-01-01,112531.166978565
1990-04-01,112861.212090563
1990-07-01,112580.233352317
1990-10-01,112430.093288514
1991-01-01,112070.70518555
1991-04-01,111483.65768265
1991-07-01,111530.475829812
1991-10-01,111644.523309874
1992-01-01,112324.294885463
1992-04-01,112045.125760414
1992-07-01,111200.715710862
1992-10-01,110410.595031044
1993-01-01,110458.931363026
1993-04-01,111313.523175238
1993-07-01,111559.491712789
1993-10-01,112095.097884777
1994-01-01,112617.815835598
1994-04-01,112258.076085438
1994-07-01,113033.123774337
1994-10-01,113414.796338386
1995-01-01,112767.078920804
1995-04-01,113074.91291609
1995-07-01,113889.585115696
1995-10-01,114001.168452431
1996-01-01,114281.744570649
1996-04-01,113965.896436469
1996-07-01,113656.322202859
1996-10-01,114251.887666809
1997-01-01,115107.953215636
1997-04-01,115939.902117776
1997-07-01,117326.73799791
1997-10-01,118396.749729177
1998-01-01,119200.101493415
1998-04-01,120633.935367872
1998-07-01,120513.892982786
1998-10-01,120105.778858093
1999-01-01,120179.05120389
1999-04-01,121262.196126424
1999-07-01,122031.787956006
1999-10-01,124923.866567244
2000-01-01,125858.500628582
2000-04-01,126411.582988118
2000-07-01,127382.449586578
2000-10-01,128642.071469394
2001-01-01,128666.525050465
2001-04-01,129006.171438582
2001-07-01,128608.668385359
2001-10-01,128547.972750168
2002-01-01,128885.076676094
2002-04-01,128982.326207092
2002-07-01,129200.354168221
2002-10-01,128705.297281655
2003-01-01,127801.177474161
2003-04-01,128100.871996869
2003-07-01,129340.465007524
2003-10-01,130921.223019651
2004-01-01,131788.573579166
2004-04-01,132325.338476603
2004-07-01,132686.398961638
2004-10-01,132892.340595675
2005-01-01,134485.093322209
2005-04-01,135992.712181477
2005-07-01,137357.46564938
2005-10-01,138600.028345464
2006-01-01,140120.644088662
2006-04-01,141345.69660241
2006-07-01,142502.711539484
2006-10-01,144743.86685299
2007-01-01,145976.780898554
2007-04-01,147578.437159439
2007-07-01,148789.415263547
2007-10-01,149725.748984309
2008-01-01,151041.765165705
2008-04-01,152024.317173356
2008-07-01,152202.103030366
2008-10-01,149293.138330839
2009-01-01,146952.532562794
2009-04-01,146960.764185686
2009-07-01,148396.574602728
2009-10-01,148781.093996354
2010-01-01,150334.629537141
2010-04-01,151763.929903441
2010-07-01,152439.977636984
2010-10-01,153532.291262986
2011-01-01,154250.628048264
2011-04-01,155021.78374696
2011-07-01,154497.952797961
2011-10-01,155459.522498118
2012-01-01,155614.698184906
2012-04-01,155970.010702917
2012-07-01,156773.024904924
2012-10-01,157104.591061087
2013-01-01,157767.847825188
2013-04-01,158968.134264483
2013-07-01,160086.225211384
2013-10-01,160391.401780188
2014-01-01,161558.94554655
2014-04-01,162546.56180263
2014-07-01,163789.189331824
2014-10-01,165145.737141415
2015-01-01,164672.923620957
2015-04-01,164650.344041344
2015-07-01,165677.792995351
2015-10-01,166291.751156154
2016-01-01,166889.208732691
2016-04-01,167731.254212963
2016-07-01,168688.612154203
2016-10-01,169316.798310612
2017-01-01,169446.481409997
2017-04-01,170550.783981441
2017-07-01,171701.815862829
2017-10-01,173463.659744846
2018-01-01,175234.821866563
2018-04-01,176672.993450064
2018-07-01,176135.366816697
2018-10-01,175999.916420951
2019-01-01,176694.542203613
2019-04-01,177199.920380558
